"id","symbol","return_2018","return_2019"
"116","DD",-0.23681030906758,-0.139091673841525
"117","EMR",-0.118725288406172,0.315348974420214
"118","ETN",-0.100430580392385,1.37540975308276
"119","XEL",0.0587902300701424,0.323712857428212
"120","PSX",-0.122827950623477,0.339749846934015
"121","ALL",-0.195201214600591,0.388213100031711
"122","ROST",0.0478097159440374,0.413388687839237
"123","WBA",-0.0365044706300223,-0.109920036019205
"124","CTSH",-0.0942412202196957,-0.0107203351006406
"125","EBAY",-0.256226847669902,0.305856959690545
"126","BK",-0.108463513597958,0.0955692648716511
"127","ORLY",0.431487474101656,0.27279071398449
"128","COF",-0.227661036407405,0.386167786480825
"129","FDX",-0.366824992256852,-0.0429897030671423
"130","HCA",0.394686561688824,0.206521005734244
"131","SYY",0.0548263161459865,0.39640111967584
"132","STZ",-0.287260079112247,0.198463208671426
